,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
0,benchmark-1,0.008507251739501953,0.022518157958984375,4,2,0
1,benchmark-1,0.008507013320922852,0.0220181941986084,4,2,1
2,benchmark-1,0.009007692337036133,0.0220186710357666,4,2,2
3,benchmark-1,0.008507490158081055,0.021518230438232422,4,2,3
4,benchmark-1,0.009007930755615234,0.022520065307617188,4,2,4
5,benchmark-1,0.009007692337036133,0.02302074432373047,4,2,5
6,benchmark-1,0.008507490158081055,0.021518945693969727,4,2,6
7,benchmark-1,0.009007930755615234,0.022019147872924805,4,2,7
8,benchmark-1,0.008507251739501953,0.022018909454345703,4,2,8
9,benchmark-1,0.008507490158081055,0.021018505096435547,4,2,9
10,benchmark-10,0.0030024051666259766,0.006005048751831055,2,4,0
11,benchmark-10,0.003002643585205078,0.0065059661865234375,2,4,1
12,benchmark-10,0.0030028820037841797,0.006005764007568359,2,4,2
13,benchmark-10,0.0030024051666259766,0.006004810333251953,2,4,3
14,benchmark-10,0.0035028457641601562,0.0070056915283203125,2,4,4
15,benchmark-10,0.0030024051666259766,0.006005048751831055,2,4,5
16,benchmark-10,0.0035028457641601562,0.007005929946899414,2,4,6
17,benchmark-10,0.0030024051666259766,0.006004810333251953,2,4,7
18,benchmark-10,0.0030019283294677734,0.0060045719146728516,2,4,8
19,benchmark-10,0.003002643585205078,0.006005525588989258,2,4,9
20,benchmark-11,0.014512300491333008,0.024521589279174805,3,4,0
21,benchmark-11,0.01401209831237793,0.024020910263061523,3,4,1
22,benchmark-11,0.01451253890991211,0.02602219581604004,3,4,2
23,benchmark-11,0.01451253890991211,0.02552199363708496,3,4,3
24,benchmark-11,0.014512300491333008,0.025521516799926758,3,4,4
25,benchmark-11,0.01451253890991211,0.02552199363708496,3,4,5
26,benchmark-11,0.01451253890991211,0.02552199363708496,3,4,6
27,benchmark-11,0.014011859893798828,0.0245208740234375,3,4,7
28,benchmark-11,0.014512300491333008,0.02502155303955078,3,4,8
29,benchmark-11,0.014512300491333008,0.02552175521850586,3,4,9
30,benchmark-12,0.003503084182739258,0.010509490966796875,3,6,0
31,benchmark-12,0.003002643585205078,0.009008407592773438,3,6,1
32,benchmark-12,0.0030024051666259766,0.009508848190307617,3,6,2
33,benchmark-12,0.003002643585205078,0.00950765609741211,3,6,3
34,benchmark-12,0.0030024051666259766,0.009507894515991211,3,6,4
35,benchmark-12,0.003503084182739258,0.009507894515991211,3,6,5
36,benchmark-12,0.003503084182739258,0.010008573532104492,3,6,6
37,benchmark-12,0.0035033226013183594,0.010009288787841797,3,6,7
38,benchmark-12,0.003002643585205078,0.009007692337036133,3,6,8
39,benchmark-12,0.003002643585205078,0.009008407592773438,3,6,9
40,benchmark-13,0.006505727767944336,0.027023792266845703,7,2,0
41,benchmark-13,0.006505727767944336,0.028025150299072266,7,2,1
42,benchmark-13,0.007506370544433594,0.02802443504333496,7,2,2
43,benchmark-13,0.006005048751831055,0.028023242950439453,7,2,3
44,benchmark-13,0.006005287170410156,0.026022672653198242,7,2,4
45,benchmark-13,0.006005048751831055,0.026522159576416016,7,2,5
46,benchmark-13,0.006505489349365234,0.027523517608642578,7,2,6
47,benchmark-13,0.006005287170410156,0.026523590087890625,7,2,7
48,benchmark-13,0.006505489349365234,0.028524398803710938,7,2,8
49,benchmark-13,0.0065059661865234375,0.027024030685424805,7,2,9
50,benchmark-14,0.0055048465728759766,0.015513181686401367,4,2,0
51,benchmark-14,0.0055048465728759766,0.015513420104980469,4,2,1
52,benchmark-14,0.005004167556762695,0.014512777328491211,4,2,2
53,benchmark-14,0.0055048465728759766,0.015513181686401367,4,2,3
54,benchmark-14,0.005504608154296875,0.015513420104980469,4,2,4
55,benchmark-14,0.005004405975341797,0.015012741088867188,4,2,5
56,benchmark-14,0.0050046443939208984,0.015013694763183594,4,2,6
57,benchmark-14,0.0055048465728759766,0.015012741088867188,4,2,7
58,benchmark-14,0.005504608154296875,0.016013383865356445,4,2,8
59,benchmark-14,0.005004167556762695,0.015012979507446289,4,2,9
60,benchmark-15,0.0270233154296875,0.07456374168395996,10,2,0
61,benchmark-15,0.0270230770111084,0.07406425476074219,10,2,1
62,benchmark-15,0.0270233154296875,0.07556533813476562,10,2,2
63,benchmark-15,0.029024839401245117,0.0785667896270752,10,2,3
64,benchmark-15,0.027022838592529297,0.07556438446044922,10,2,4
65,benchmark-15,0.028023958206176758,0.07806658744812012,10,2,5
66,benchmark-15,0.027523517608642578,0.07856535911560059,10,2,6
67,benchmark-15,0.02652263641357422,0.07506370544433594,10,2,7
68,benchmark-15,0.027523517608642578,0.0760648250579834,10,2,8
69,benchmark-15,0.0270233154296875,0.07556605339050293,10,2,9
70,benchmark-16,0.009508132934570312,0.02602219581604004,5,2,0
71,benchmark-16,0.009508371353149414,0.026523351669311523,5,2,1
72,benchmark-16,0.009507894515991211,0.026022672653198242,5,2,2
73,benchmark-16,0.009007453918457031,0.026021957397460938,5,2,3
74,benchmark-16,0.009507894515991211,0.026023149490356445,5,2,4
75,benchmark-16,0.009508132934570312,0.026523113250732422,5,2,5
76,benchmark-16,0.009508132934570312,0.026022672653198242,5,2,6
77,benchmark-16,0.009507894515991211,0.026022672653198242,5,2,7
78,benchmark-16,0.009508132934570312,0.02602243423461914,5,2,8
79,benchmark-16,0.009008407592773438,0.026022911071777344,5,2,9
80,benchmark-17,0.011510133743286133,0.029024839401245117,4,2,0
81,benchmark-17,0.01100921630859375,0.02752399444580078,4,2,1
82,benchmark-17,0.011510372161865234,0.02802443504333496,4,2,2
83,benchmark-17,0.012010574340820312,0.028525590896606445,4,2,3
84,benchmark-17,0.01150965690612793,0.029525041580200195,4,2,4
85,benchmark-17,0.011509895324707031,0.02802443504333496,4,2,5
86,benchmark-17,0.011510133743286133,0.028524160385131836,4,2,6
87,benchmark-17,0.012010574340820312,0.028524398803710938,4,2,7
88,benchmark-17,0.012010335922241211,0.028525114059448242,4,2,8
89,benchmark-17,0.01150965690612793,0.02802419662475586,4,2,9
90,benchmark-18,0.022018909454345703,0.08557343482971191,9,2,0
91,benchmark-18,0.021518230438232422,0.08207035064697266,9,2,1
92,benchmark-18,0.021518707275390625,0.0785665512084961,9,2,2
93,benchmark-18,0.022018909454345703,0.07906842231750488,9,2,3
94,benchmark-18,0.021518707275390625,0.08056902885437012,9,2,4
95,benchmark-18,0.022018909454345703,0.08207035064697266,9,2,5
96,benchmark-18,0.022519588470458984,0.08207178115844727,9,2,6
97,benchmark-18,0.022019147872924805,0.0810706615447998,9,2,7
98,benchmark-18,0.02301931381225586,0.08257031440734863,9,2,8
99,benchmark-18,0.021518707275390625,0.08007025718688965,9,2,9
100,benchmark-19,0.04003453254699707,0.19066429138183594,12,2,0
101,benchmark-19,0.03953409194946289,0.1866607666015625,12,2,1
102,benchmark-19,0.03953409194946289,0.18315601348876953,12,2,2
103,benchmark-19,0.04153585433959961,0.19016289710998535,12,2,3
104,benchmark-19,0.03953409194946289,0.1841597557067871,12,2,4
105,benchmark-19,0.03953409194946289,0.1866600513458252,12,2,5
