,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
0,benchmark-1,0.0040035247802734375,0.011510133743286133,4,2,0
1,benchmark-1,0.004003047943115234,0.012009859085083008,4,2,1
2,benchmark-1,0.004003286361694336,0.011510610580444336,4,2,2
3,benchmark-1,0.003503084182739258,0.011510610580444336,4,2,3
4,benchmark-1,0.004003286361694336,0.012009859085083008,4,2,4
5,benchmark-1,0.004003763198852539,0.01251077651977539,4,2,5
6,benchmark-1,0.0035033226013183594,0.011009454727172852,4,2,6
7,benchmark-1,0.004003047943115234,0.013010501861572266,4,2,7
8,benchmark-1,0.004003047943115234,0.01251077651977539,4,2,8
9,benchmark-1,0.004003763198852539,0.012010574340820312,4,2,9
10,benchmark-10,0.0020020008087158203,0.0040035247802734375,2,4,0
11,benchmark-10,0.0020017623901367188,0.00450444221496582,2,4,1
12,benchmark-10,0.0025017261505126953,0.005004405975341797,2,4,2
13,benchmark-10,0.0020020008087158203,0.004004001617431641,2,4,3
14,benchmark-10,0.0020020008087158203,0.004002809524536133,2,4,4
15,benchmark-10,0.002501964569091797,0.005003929138183594,2,4,5
16,benchmark-10,0.002001523971557617,0.004503726959228516,2,4,6
17,benchmark-10,0.0020020008087158203,0.0040035247802734375,2,4,7
18,benchmark-10,0.002001523971557617,0.004503726959228516,2,4,8
19,benchmark-10,0.00250244140625,0.0050046443939208984,2,4,9
20,benchmark-11,0.0055048465728759766,0.011509895324707031,3,4,0
21,benchmark-11,0.0055048465728759766,0.011509895324707031,3,4,1
22,benchmark-11,0.0055048465728759766,0.011509895324707031,3,4,2
23,benchmark-11,0.005004405975341797,0.01100921630859375,3,4,3
24,benchmark-11,0.0050046443939208984,0.011009931564331055,3,4,4
25,benchmark-11,0.005004405975341797,0.011009693145751953,3,4,5
26,benchmark-11,0.005505084991455078,0.011510372161865234,3,4,6
27,benchmark-11,0.005505084991455078,0.01201009750366211,3,4,7
28,benchmark-11,0.005504608154296875,0.012010335922241211,3,4,8
29,benchmark-11,0.0055048465728759766,0.012510299682617188,3,4,9
30,benchmark-12,0.0025026798248291016,0.006506443023681641,3,6,0
31,benchmark-12,0.0025022029876708984,0.006505489349365234,3,6,1
32,benchmark-12,0.0020017623901367188,0.006005525588989258,3,6,2
33,benchmark-12,0.0020012855529785156,0.006505250930786133,3,6,3
34,benchmark-12,0.002001523971557617,0.006005764007568359,3,6,4
35,benchmark-12,0.0025026798248291016,0.00700688362121582,3,6,5
36,benchmark-12,0.0025022029876708984,0.007005929946899414,3,6,6
37,benchmark-12,0.002001523971557617,0.007005929946899414,3,6,7
38,benchmark-12,0.002001523971557617,0.006505012512207031,3,6,8
39,benchmark-12,0.0020020008087158203,0.006505489349365234,3,6,9
40,benchmark-13,0.0035028457641601562,0.01751542091369629,7,2,0
41,benchmark-13,0.003503084182739258,0.017014741897583008,7,2,1
42,benchmark-13,0.0035026073455810547,0.018014907836914062,7,2,2
43,benchmark-13,0.003503084182739258,0.017515182495117188,7,2,3
44,benchmark-13,0.003002643585205078,0.017514944076538086,7,2,4
45,benchmark-13,0.003503084182739258,0.017015457153320312,7,2,5
46,benchmark-13,0.0030028820037841797,0.018015146255493164,7,2,6
47,benchmark-13,0.003503084182739258,0.017014265060424805,7,2,7
48,benchmark-13,0.0035037994384765625,0.01751565933227539,7,2,8
49,benchmark-13,0.004003047943115234,0.01801466941833496,7,2,9
50,benchmark-14,0.0035028457641601562,0.010509014129638672,4,2,0
51,benchmark-14,0.0030028820037841797,0.01000833511352539,4,2,1
52,benchmark-14,0.003002643585205078,0.009508371353149414,4,2,2
53,benchmark-14,0.003002643585205078,0.009508848190307617,4,2,3
54,benchmark-14,0.0030028820037841797,0.010008573532104492,4,2,4
55,benchmark-14,0.0030028820037841797,0.010509252548217773,4,2,5
56,benchmark-14,0.003002643585205078,0.01000833511352539,4,2,6
57,benchmark-14,0.003002643585205078,0.01000833511352539,4,2,7
58,benchmark-14,0.003002643585205078,0.010008811950683594,4,2,8
59,benchmark-14,0.0030024051666259766,0.009508609771728516,4,2,9
60,benchmark-15,0.008507251739501953,0.03703165054321289,10,2,0
61,benchmark-15,0.008507490158081055,0.036531686782836914,10,2,1
62,benchmark-15,0.008507966995239258,0.03653264045715332,10,2,2
63,benchmark-15,0.009007453918457031,0.03803133964538574,10,2,3
64,benchmark-15,0.008507490158081055,0.03753185272216797,10,2,4
65,benchmark-15,0.008507251739501953,0.03853297233581543,10,2,5
66,benchmark-15,0.008507728576660156,0.03553152084350586,10,2,6
67,benchmark-15,0.009007930755615234,0.03703165054321289,10,2,7
68,benchmark-15,0.008507251739501953,0.03753161430358887,10,2,8
69,benchmark-15,0.008507251739501953,0.03753185272216797,10,2,9
70,benchmark-16,0.004003047943115234,0.014510869979858398,5,2,0
71,benchmark-16,0.004003763198852539,0.014012336730957031,5,2,1
72,benchmark-16,0.004003286361694336,0.01451253890991211,5,2,2
73,benchmark-16,0.0040035247802734375,0.015013456344604492,5,2,3
74,benchmark-16,0.004003763198852539,0.014012575149536133,5,2,4
75,benchmark-16,0.004503965377807617,0.014513492584228516,5,2,5
76,benchmark-16,0.004503726959228516,0.015012741088867188,5,2,6
77,benchmark-16,0.004003286361694336,0.014011621475219727,5,2,7
78,benchmark-16,0.004003286361694336,0.014011621475219727,5,2,8
79,benchmark-16,0.004003286361694336,0.014011383056640625,5,2,9
80,benchmark-17,0.004503726959228516,0.013511180877685547,4,2,0
81,benchmark-17,0.004503488540649414,0.013010501861572266,4,2,1
82,benchmark-17,0.004504203796386719,0.013011693954467773,4,2,2
83,benchmark-17,0.004503726959228516,0.013511180877685547,4,2,3
84,benchmark-17,0.004504203796386719,0.013011693954467773,4,2,4
85,benchmark-17,0.004503726959228516,0.013510942459106445,4,2,5
86,benchmark-17,0.004503965377807617,0.013011455535888672,4,2,6
87,benchmark-17,0.004504203796386719,0.013512849807739258,4,2,7
88,benchmark-17,0.005004405975341797,0.014513015747070312,4,2,8
89,benchmark-17,0.004503488540649414,0.013511419296264648,4,2,9
90,benchmark-18,0.0070056915283203125,0.03553009033203125,9,2,0
91,benchmark-18,0.007506132125854492,0.036530494689941406,9,2,1
92,benchmark-18,0.007506370544433594,0.035532474517822266,9,2,2
93,benchmark-18,0.00800633430480957,0.03603100776672363,9,2,3
94,benchmark-18,0.007506608963012695,0.03603315353393555,9,2,4
95,benchmark-18,0.007006168365478516,0.035028696060180664,9,2,5
96,benchmark-18,0.007006168365478516,0.03553152084350586,9,2,6
97,benchmark-18,0.007506608963012695,0.03553009033203125,9,2,7
98,benchmark-18,0.008006572723388672,0.036031246185302734,9,2,8
99,benchmark-18,0.007506847381591797,0.036531686782836914,9,2,9
100,benchmark-19,0.01150965690612793,0.07056069374084473,12,2,0
101,benchmark-19,0.011510133743286133,0.06755876541137695,12,2,1
102,benchmark-19,0.011509418487548828,0.06705737113952637,12,2,2
103,benchmark-19,0.01100921630859375,0.06505727767944336,12,2,3
104,benchmark-19,0.01100921630859375,0.06605887413024902,12,2,4
105,benchmark-19,0.011009454727172852,0.06655669212341309,12,2,5
106,benchmark-19,0.011509895324707031,0.06555652618408203,12,2,6
107,benchmark-19,0.011008977890014648,0.06555485725402832,12,2,7
108,benchmark-19,0.01150965690612793,0.06705737113952637,12,2,8
109,benchmark-19,0.011509895324707031,0.06755995750427246,12,2,9
110,benchmark-2,0.003503084182739258,0.009007453918457031,3,2,0
111,benchmark-2,0.003002643585205078,0.008007287979125977,3,2,1
112,benchmark-2,0.0035028457641601562,0.008507728576660156,3,2,2
113,benchmark-2,0.0035033226013183594,0.008007526397705078,3,2,3
114,benchmark-2,0.003002643585205078,0.00800633430480957,3,2,4
115,benchmark-2,0.0030028820037841797,0.008507251739501953,3,2,5
116,benchmark-2,0.0035028457641601562,0.008006811141967773,3,2,6
117,benchmark-2,0.0035033226013183594,0.008507490158081055,3,2,7
118,benchmark-2,0.0030028820037841797,0.008007287979125977,3,2,8
119,benchmark-2,0.003503084182739258,0.008007287979125977,3,2,9
120,benchmark-20,0.00450444221496582,0.01501321792602539,5,2,0
121,benchmark-20,0.004003286361694336,0.014512062072753906,5,2,1
122,benchmark-20,0.004003286361694336,0.01351165771484375,5,2,2
123,benchmark-20,0.004503726959228516,0.015013456344604492,5,2,3
124,benchmark-20,0.0040035247802734375,0.014513492584228516,5,2,4
125,benchmark-20,0.004503488540649414,0.014512062072753906,5,2,5
126,benchmark-20,0.004503726959228516,0.01451253890991211,5,2,6
127,benchmark-20,0.004504203796386719,0.014513015747070312,5,2,7
128,benchmark-20,0.004003763198852539,0.013511419296264648,5,2,8
129,benchmark-20,0.004503965377807617,0.014513015747070312,5,2,9
130,benchmark-21,0.0020017623901367188,0.0065059661865234375,3,4,0
131,benchmark-21,0.0025022029876708984,0.007506132125854492,3,4,1
132,benchmark-21,0.0020017623901367188,0.007005929946899414,3,4,2
133,benchmark-21,0.0020020008087158203,0.0065059661865234375,3,4,3
134,benchmark-21,0.00250244140625,0.0070056915283203125,3,4,4
135,benchmark-21,0.0020017623901367188,0.0070056915283203125,3,4,5
136,benchmark-21,0.0025017261505126953,0.007005453109741211,3,4,6
137,benchmark-21,0.002501964569091797,0.007506608963012695,3,4,7
138,benchmark-21,0.0025022029876708984,0.007005929946899414,3,4,8
139,benchmark-21,0.002501964569091797,0.0070056915283203125,3,4,9
140,benchmark-22,0.0025022029876708984,0.0025022029876708984,1,4,0
141,benchmark-22,0.00250244140625,0.00250244140625,1,4,1
142,benchmark-22,0.0025022029876708984,0.0025022029876708984,1,4,2
143,benchmark-22,0.0020020008087158203,0.0020020008087158203,1,4,3
144,benchmark-22,0.00250244140625,0.00250244140625,1,4,4
145,benchmark-22,0.0025022029876708984,0.0025022029876708984,1,4,5
146,benchmark-22,0.0025017261505126953,0.0025017261505126953,1,4,6
147,benchmark-22,0.002501964569091797,0.002501964569091797,1,4,7
148,benchmark-22,0.002001523971557617,0.002001523971557617,1,4,8
149,benchmark-22,0.0025017261505126953,0.0025017261505126953,1,4,9
150,benchmark-23,0.013010978698730469,0.034029245376586914,5,4,0
151,benchmark-23,0.01251077651977539,0.03302812576293945,5,4,1
152,benchmark-23,0.01251077651977539,0.03252840042114258,5,4,2
153,benchmark-23,0.012010335922241211,0.032527923583984375,5,4,3
154,benchmark-23,0.01301121711730957,0.0345304012298584,5,4,4
155,benchmark-23,0.01251077651977539,0.03252744674682617,5,4,5
156,benchmark-23,0.012010574340820312,0.033028364181518555,5,4,6
157,benchmark-23,0.012010574340820312,0.03252887725830078,5,4,7
158,benchmark-23,0.013011693954467773,0.034029483795166016,5,4,8
