,benchmark,solution_time,calculation_time,solution_horizon,number_of_robots,attempt
0,benchmark-1,0.0040035247802734375,0.013512134552001953,4,2,0
1,benchmark-1,0.004003286361694336,0.012510299682617188,4,2,1
2,benchmark-1,0.0030024051666259766,0.01201009750366211,4,2,2
3,benchmark-1,0.003002643585205078,0.012009620666503906,4,2,3
4,benchmark-1,0.003503084182739258,0.011510610580444336,4,2,4
5,benchmark-1,0.003503084182739258,0.012010335922241211,4,2,5
6,benchmark-1,0.004003763198852539,0.012009620666503906,4,2,6
7,benchmark-1,0.0035026073455810547,0.013010025024414062,4,2,7
8,benchmark-1,0.0035033226013183594,0.011510610580444336,4,2,8
9,benchmark-1,0.004003286361694336,0.012009382247924805,4,2,9
10,benchmark-10,0.003002643585205078,0.005505084991455078,2,4,0
11,benchmark-10,0.0025022029876708984,0.005004405975341797,2,4,1
12,benchmark-10,0.002001523971557617,0.004004001617431641,2,4,2
13,benchmark-10,0.0025022029876708984,0.005004405975341797,2,4,3
14,benchmark-10,0.0020017623901367188,0.0040035247802734375,2,4,4
15,benchmark-10,0.00250244140625,0.004503965377807617,2,4,5
16,benchmark-10,0.00250244140625,0.0050046443939208984,2,4,6
17,benchmark-10,0.002501964569091797,0.005003929138183594,2,4,7
18,benchmark-10,0.00250244140625,0.005004405975341797,2,4,8
19,benchmark-10,0.0020017623901367188,0.004503726959228516,2,4,9
20,benchmark-11,0.006005048751831055,0.013011455535888672,3,4,0
21,benchmark-11,0.006005048751831055,0.01301121711730957,3,4,1
22,benchmark-11,0.0055048465728759766,0.011510133743286133,3,4,2
23,benchmark-11,0.0055048465728759766,0.012010335922241211,3,4,3
24,benchmark-11,0.005504608154296875,0.012010335922241211,3,4,4
25,benchmark-11,0.0055048465728759766,0.011510372161865234,3,4,5
26,benchmark-11,0.0055048465728759766,0.012010335922241211,3,4,6
27,benchmark-11,0.005505084991455078,0.011510133743286133,3,4,7
28,benchmark-11,0.005504608154296875,0.012009859085083008,3,4,8
29,benchmark-11,0.006005287170410156,0.012010335922241211,3,4,9
30,benchmark-12,0.002501964569091797,0.0070056915283203125,3,6,0
31,benchmark-12,0.0025014877319335938,0.0065042972564697266,3,6,1
32,benchmark-12,0.0025026798248291016,0.006723165512084961,3,6,2
33,benchmark-12,0.0020017623901367188,0.006505250930786133,3,6,3
34,benchmark-12,0.002501964569091797,0.007505893707275391,3,6,4
35,benchmark-12,0.0025017261505126953,0.007505655288696289,3,6,5
36,benchmark-12,0.0025022029876708984,0.007505893707275391,3,6,6
37,benchmark-12,0.0025022029876708984,0.007506847381591797,3,6,7
38,benchmark-12,0.0020012855529785156,0.007005453109741211,3,6,8
39,benchmark-12,0.00250244140625,0.007506132125854492,3,6,9
40,benchmark-13,0.003503084182739258,0.014011144638061523,5,2,0
41,benchmark-13,0.004003286361694336,0.013511419296264648,5,2,1
42,benchmark-13,0.003502368927001953,0.014511823654174805,5,2,2
43,benchmark-13,0.004003286361694336,0.015012264251708984,5,2,3
44,benchmark-13,0.003503084182739258,0.014012336730957031,5,2,4
45,benchmark-13,0.0035033226013183594,0.014012575149536133,5,2,5
46,benchmark-13,0.003503084182739258,0.014012575149536133,5,2,6
47,benchmark-13,0.004003286361694336,0.01401066780090332,5,2,7
