,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
0,benchmark-1,0.0040035247802734375,0.013011455535888672,4,2,0
1,benchmark-1,0.004003763198852539,0.012511491775512695,4,2,1
2,benchmark-1,0.0040035247802734375,0.01251077651977539,4,2,2
3,benchmark-1,0.004503726959228516,0.013010978698730469,4,2,3
4,benchmark-1,0.004503726959228516,0.013511180877685547,4,2,4
5,benchmark-1,0.004003286361694336,0.012010574340820312,4,2,5
6,benchmark-1,0.0040035247802734375,0.013011693954467773,4,2,6
7,benchmark-1,0.004003047943115234,0.01301121711730957,4,2,7
8,benchmark-1,0.004003763198852539,0.013011455535888672,4,2,8
9,benchmark-1,0.004004001617431641,0.013011455535888672,4,2,9
10,benchmark-10,0.0025022029876708984,0.005004167556762695,2,4,0
11,benchmark-10,0.0024433135986328125,0.004945516586303711,2,4,1
12,benchmark-10,0.00250244140625,0.0050046443939208984,2,4,2
13,benchmark-10,0.0025022029876708984,0.005004405975341797,2,4,3
14,benchmark-10,0.00250244140625,0.00450444221496582,2,4,4
15,benchmark-10,0.0020017623901367188,0.004003763198852539,2,4,5
16,benchmark-10,0.0025022029876708984,0.004503965377807617,2,4,6
17,benchmark-10,0.0025017261505126953,0.004503726959228516,2,4,7
18,benchmark-10,0.0025014877319335938,0.005003929138183594,2,4,8
19,benchmark-10,0.0025022029876708984,0.0050048828125,2,4,9
20,benchmark-11,0.0055043697357177734,0.011509418487548828,3,4,0
21,benchmark-11,0.0055048465728759766,0.011510133743286133,3,4,1
22,benchmark-11,0.005504608154296875,0.011509895324707031,3,4,2
23,benchmark-11,0.005505084991455078,0.011510133743286133,3,4,3
24,benchmark-11,0.0055043697357177734,0.011509895324707031,3,4,4
25,benchmark-11,0.005505084991455078,0.011510372161865234,3,4,5
26,benchmark-11,0.0055048465728759766,0.01150965690612793,3,4,6
27,benchmark-11,0.0055048465728759766,0.011509895324707031,3,4,7
28,benchmark-11,0.005504608154296875,0.01150965690612793,3,4,8
29,benchmark-11,0.005504608154296875,0.01150965690612793,3,4,9
30,benchmark-12,0.0025022029876708984,0.007006406784057617,3,6,0
31,benchmark-12,0.0025017261505126953,0.007005453109741211,3,6,1
32,benchmark-12,0.0020020008087158203,0.007006645202636719,3,6,2
33,benchmark-12,0.0025022029876708984,0.007005929946899414,3,6,3
34,benchmark-12,0.0025022029876708984,0.007005453109741211,3,6,4
35,benchmark-12,0.0025022029876708984,0.007506132125854492,3,6,5
36,benchmark-12,0.002002239227294922,0.0065059661865234375,3,6,6
37,benchmark-12,0.002501964569091797,0.007506370544433594,3,6,7
38,benchmark-12,0.0025022029876708984,0.006506204605102539,3,6,8
39,benchmark-12,0.0020020008087158203,0.0065059661865234375,3,6,9
40,benchmark-13,0.003503084182739258,0.018515825271606445,7,2,0
41,benchmark-13,0.003503084182739258,0.01801586151123047,7,2,1
42,benchmark-13,0.003503084182739258,0.01851654052734375,7,2,2
43,benchmark-13,0.0035028457641601562,0.01851654052734375,7,2,3
44,benchmark-13,0.003503084182739258,0.018515348434448242,7,2,4
45,benchmark-13,0.0035026073455810547,0.01851511001586914,7,2,5
46,benchmark-13,0.0035026073455810547,0.01801586151123047,7,2,6
47,benchmark-13,0.0035028457641601562,0.017514705657958984,7,2,7
48,benchmark-13,0.003002643585205078,0.017515182495117188,7,2,8
49,benchmark-13,0.003503084182739258,0.01801586151123047,7,2,9
50,benchmark-14,0.0035026073455810547,0.01100921630859375,4,2,0
51,benchmark-14,0.0030028820037841797,0.010010004043579102,4,2,1
