,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
0,benchmark-1,0.0035033226013183594,0.009007930755615234,4,2,0
1,benchmark-1,0.003002643585205078,0.009007930755615234,4,2,1
2,benchmark-1,0.0030024051666259766,0.008507013320922852,4,2,2
3,benchmark-1,0.003002643585205078,0.009007692337036133,4,2,3
4,benchmark-1,0.0035033226013183594,0.008507013320922852,4,2,4
5,benchmark-1,0.0030024051666259766,0.008507013320922852,4,2,5
6,benchmark-1,0.0030031204223632812,0.009008169174194336,4,2,6
7,benchmark-1,0.003503561019897461,0.009008407592773438,4,2,7
8,benchmark-1,0.003503084182739258,0.008507251739501953,4,2,8
9,benchmark-1,0.0030019283294677734,0.008005857467651367,4,2,9
10,benchmark-10,0.0030024051666259766,0.005003929138183594,2,4,0
11,benchmark-10,0.0030024051666259766,0.005003929138183594,2,4,1
12,benchmark-10,0.003002643585205078,0.005504608154296875,2,4,2
13,benchmark-10,0.0030024051666259766,0.004503726959228516,2,4,3
14,benchmark-10,0.0030024051666259766,0.005003690719604492,2,4,4
15,benchmark-10,0.003002166748046875,0.004557132720947266,2,4,5
16,benchmark-10,0.003002643585205078,0.0050046443939208984,2,4,6
17,benchmark-10,0.003002643585205078,0.005004167556762695,2,4,7
18,benchmark-10,0.0030028820037841797,0.004504203796386719,2,4,8
19,benchmark-10,0.0030024051666259766,0.005003929138183594,2,4,9
20,benchmark-11,0.004503726959228516,0.009508371353149414,3,4,0
21,benchmark-11,0.005004167556762695,0.009508371353149414,3,4,1
22,benchmark-11,0.004503965377807617,0.008507490158081055,3,4,2
23,benchmark-11,0.005504608154296875,0.010008573532104492,3,4,3
24,benchmark-11,0.004503965377807617,0.008507490158081055,3,4,4
25,benchmark-11,0.005004167556762695,0.009007692337036133,3,4,5
26,benchmark-11,0.005004405975341797,0.009508132934570312,3,4,6
27,benchmark-11,0.005003929138183594,0.009508132934570312,3,4,7
28,benchmark-11,0.004503965377807617,0.009508371353149414,3,4,8
29,benchmark-11,0.005004167556762695,0.010008811950683594,3,4,9
30,benchmark-12,0.003002166748046875,0.007005214691162109,3,6,0
31,benchmark-12,0.003002643585205078,0.0065059661865234375,3,6,1
32,benchmark-12,0.0030024051666259766,0.006506204605102539,3,6,2
33,benchmark-12,0.0030024051666259766,0.006505012512207031,3,6,3
34,benchmark-12,0.003002643585205078,0.0065059661865234375,3,6,4
35,benchmark-12,0.0030024051666259766,0.006505489349365234,3,6,5
36,benchmark-12,0.003002643585205078,0.0070056915283203125,3,6,6
37,benchmark-12,0.003002166748046875,0.007005214691162109,3,6,7
38,benchmark-12,0.003002643585205078,0.006505727767944336,3,6,8
39,benchmark-12,0.0030024051666259766,0.006505012512207031,3,6,9
40,benchmark-13,0.0055043697357177734,0.015512228012084961,5,2,0
