,benchmark,solution_time,calculation_time,solution_horizon,number_of_robots,attempt
0,benchmark-1,0.003002166748046875,0.00800633430480957,4,2,
1,benchmark-1,0.003002643585205078,0.00800633430480957,4,2,
2,benchmark-1,0.003002643585205078,0.00800633430480957,4,2,
3,benchmark-1,0.003002643585205078,0.00800633430480957,4,2,
4,benchmark-1,0.0030019283294677734,0.00800633430480957,4,2,
5,benchmark-1,0.003002166748046875,0.00800633430480957,4,2,
6,benchmark-1,0.003002643585205078,0.00800633430480957,4,2,
7,benchmark-1,0.0030028820037841797,0.00800633430480957,4,2,
8,benchmark-1,0.0025017261505126953,0.00800633430480957,4,2,
9,benchmark-1,0.0030024051666259766,0.00800633430480957,4,2,
10,benchmark-10,0.0030028820037841797,0.00450444221496582,2,4,
11,benchmark-10,0.003002643585205078,0.00450444221496582,2,4,
12,benchmark-10,0.00250244140625,0.00450444221496582,2,4,
13,benchmark-10,0.003002643585205078,0.00450444221496582,2,4,
14,benchmark-10,0.002501964569091797,0.00450444221496582,2,4,
15,benchmark-10,0.003002643585205078,0.00450444221496582,2,4,
16,benchmark-10,0.0030024051666259766,0.00450444221496582,2,4,
17,benchmark-10,0.003002643585205078,0.00450444221496582,2,4,
18,benchmark-10,0.003002166748046875,0.00450444221496582,2,4,
19,benchmark-10,0.003002643585205078,0.00450444221496582,2,4,
20,benchmark-11,0.004503965377807617,0.008508443832397461,3,4,
21,benchmark-11,0.004503488540649414,0.008508443832397461,3,4,
22,benchmark-11,0.004503965377807617,0.008508443832397461,3,4,
23,benchmark-11,0.004503965377807617,0.008508443832397461,3,4,
24,benchmark-11,0.004503965377807617,0.008508443832397461,3,4,
25,benchmark-11,0.005003929138183594,0.008508443832397461,3,4,
26,benchmark-11,0.004503965377807617,0.008508443832397461,3,4,
27,benchmark-11,0.0040035247802734375,0.008508443832397461,3,4,
28,benchmark-11,0.00450444221496582,0.008508443832397461,3,4,
29,benchmark-11,0.004504680633544922,0.008508443832397461,3,4,
30,benchmark-12,0.00250244140625,0.006005287170410156,3,6,
31,benchmark-12,0.0025026798248291016,0.006005287170410156,3,6,
32,benchmark-12,0.0025022029876708984,0.006005287170410156,3,6,
33,benchmark-12,0.003002166748046875,0.006005287170410156,3,6,
34,benchmark-12,0.003002643585205078,0.006005287170410156,3,6,
35,benchmark-12,0.0025022029876708984,0.006005287170410156,3,6,
36,benchmark-12,0.0025017261505126953,0.006005287170410156,3,6,
37,benchmark-12,0.00250244140625,0.006005287170410156,3,6,
38,benchmark-12,0.0030028820037841797,0.006005287170410156,3,6,
39,benchmark-12,0.003002643585205078,0.006005287170410156,3,6,
40,benchmark-13,0.0050048828125,0.013010978698730469,5,2,
41,benchmark-13,0.005004405975341797,0.013010978698730469,5,2,
42,benchmark-13,0.0045015811920166016,0.013010978698730469,5,2,
43,benchmark-13,0.004503965377807617,0.013010978698730469,5,2,
44,benchmark-13,0.005004167556762695,0.013010978698730469,5,2,
45,benchmark-13,0.0055048465728759766,0.013010978698730469,5,2,
46,benchmark-13,0.005004167556762695,0.013010978698730469,5,2,
47,benchmark-13,0.005004167556762695,0.013010978698730469,5,2,
48,benchmark-13,0.004504203796386719,0.013010978698730469,5,2,
49,benchmark-13,0.005504608154296875,0.013010978698730469,5,2,
50,benchmark-14,0.0035026073455810547,0.009505033493041992,4,2,
51,benchmark-14,0.0035033226013183594,0.009505033493041992,4,2,
52,benchmark-14,0.003503084182739258,0.009505033493041992,4,2,
53,benchmark-14,0.0035033226013183594,0.009505033493041992,4,2,
54,benchmark-14,0.003502368927001953,0.009505033493041992,4,2,
55,benchmark-14,0.0030028820037841797,0.009505033493041992,4,2,
56,benchmark-14,0.0035028457641601562,0.009505033493041992,4,2,
57,benchmark-14,0.0035028457641601562,0.009505033493041992,4,2,
58,benchmark-14,0.003503084182739258,0.009505033493041992,4,2,
59,benchmark-14,0.004003286361694336,0.009505033493041992,4,2,
60,benchmark-15,0.017014741897583008,0.05404543876647949,8,2,
61,benchmark-15,0.017014503479003906,0.05404543876647949,8,2,
62,benchmark-15,0.016514062881469727,0.05404543876647949,8,2,
63,benchmark-15,0.016514301300048828,0.05404543876647949,8,2,
64,benchmark-15,0.01751542091369629,0.05404543876647949,8,2,
65,benchmark-15,0.01651477813720703,0.05404543876647949,8,2,
66,benchmark-15,0.017014265060424805,0.05404543876647949,8,2,
67,benchmark-15,0.017014741897583008,0.05404543876647949,8,2,
68,benchmark-15,0.016514301300048828,0.05404543876647949,8,2,
69,benchmark-15,0.01601386070251465,0.05404543876647949,8,2,
70,benchmark-16,0.0035026073455810547,0.010510921478271484,5,2,
71,benchmark-16,0.003503084182739258,0.010510921478271484,5,2,
72,benchmark-16,0.003503084182739258,0.010510921478271484,5,2,
73,benchmark-16,0.0035028457641601562,0.010510921478271484,5,2,
74,benchmark-16,0.0030028820037841797,0.010510921478271484,5,2,
75,benchmark-16,0.003002643585205078,0.010510921478271484,5,2,
76,benchmark-16,0.003503084182739258,0.010510921478271484,5,2,
77,benchmark-16,0.0030028820037841797,0.010510921478271484,5,2,
78,benchmark-16,0.0030028820037841797,0.010510921478271484,5,2,
79,benchmark-16,0.003503084182739258,0.010510921478271484,5,2,
80,benchmark-17,0.0035028457641601562,0.009509086608886719,4,2,
81,benchmark-17,0.0035033226013183594,0.009509086608886719,4,2,
82,benchmark-17,0.004003286361694336,0.009509086608886719,4,2,
83,benchmark-17,0.003503084182739258,0.009509086608886719,4,2,
84,benchmark-17,0.004503726959228516,0.009509086608886719,4,2,
85,benchmark-17,0.0035026073455810547,0.009509086608886719,4,2,
86,benchmark-17,0.003502368927001953,0.009509086608886719,4,2,
87,benchmark-17,0.0035028457641601562,0.009509086608886719,4,2,
88,benchmark-17,0.0035026073455810547,0.009509086608886719,4,2,
89,benchmark-17,0.004003763198852539,0.009509086608886719,4,2,
