,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
0,benchmark-1,0.009007692337036133,0.022519826889038086,4,2,0
1,benchmark-1,0.009007453918457031,0.02301955223083496,4,2,1
2,benchmark-1,0.009007692337036133,0.02301955223083496,4,2,2
3,benchmark-1,0.009007930755615234,0.022019624710083008,4,2,3
4,benchmark-1,0.009507894515991211,0.02251911163330078,4,2,4
5,benchmark-1,0.009007692337036133,0.023020029067993164,4,2,5
6,benchmark-1,0.009007930755615234,0.022519826889038086,4,2,6
7,benchmark-1,0.009007692337036133,0.023020267486572266,4,2,7
8,benchmark-1,0.009007453918457031,0.02302074432373047,4,2,8
9,benchmark-1,0.009007930755615234,0.022520065307617188,4,2,9
10,benchmark-10,0.0030024051666259766,0.006004810333251953,2,4,0
11,benchmark-10,0.003503084182739258,0.007006406784057617,2,4,1
12,benchmark-10,0.0035026073455810547,0.0070056915283203125,2,4,2
13,benchmark-10,0.003002166748046875,0.006005048751831055,2,4,3
14,benchmark-10,0.003002643585205078,0.006505727767944336,2,4,4
15,benchmark-10,0.003002166748046875,0.006505250930786133,2,4,5
16,benchmark-10,0.0035028457641601562,0.007006645202636719,2,4,6
17,benchmark-10,0.003503084182739258,0.007005929946899414,2,4,7
18,benchmark-10,0.0035033226013183594,0.007006168365478516,2,4,8
19,benchmark-10,0.003503084182739258,0.007006168365478516,2,4,9
20,benchmark-11,0.01551365852355957,0.0270235538482666,3,4,0
21,benchmark-11,0.015012979507446289,0.02602219581604004,3,4,1
22,benchmark-11,0.015012741088867188,0.026022911071777344,3,4,2
23,benchmark-11,0.015012741088867188,0.02652287483215332,3,4,3
24,benchmark-11,0.015012741088867188,0.026021957397460938,3,4,4
25,benchmark-11,0.01501321792602539,0.026523590087890625,3,4,5
26,benchmark-11,0.01501321792602539,0.026523351669311523,3,4,6
27,benchmark-11,0.015012979507446289,0.02652287483215332,3,4,7
28,benchmark-11,0.015012502670288086,0.027023792266845703,3,4,8
29,benchmark-11,0.015513420104980469,0.027022600173950195,3,4,9
30,benchmark-12,0.0035026073455810547,0.00950765609741211,3,6,0
31,benchmark-12,0.003503084182739258,0.009508371353149414,3,6,1
32,benchmark-12,0.003503084182739258,0.010509014129638672,3,6,2
33,benchmark-12,0.003503561019897461,0.009509086608886719,3,6,3
34,benchmark-12,0.0035026073455810547,0.010509252548217773,3,6,4
35,benchmark-12,0.0035033226013183594,0.01000833511352539,3,6,5
36,benchmark-12,0.003002643585205078,0.009507894515991211,3,6,6
37,benchmark-12,0.003503084182739258,0.010008573532104492,3,6,7
38,benchmark-12,0.0035033226013183594,0.009508371353149414,3,6,8
39,benchmark-12,0.003503084182739258,0.010509967803955078,3,6,9
40,benchmark-13,0.006505727767944336,0.028523921966552734,7,2,0
41,benchmark-13,0.007006406784057617,0.02852606773376465,7,2,1
42,benchmark-13,0.007006168365478516,0.029526233673095703,7,2,2
43,benchmark-13,0.006505727767944336,0.028525352478027344,7,2,3
44,benchmark-13,0.007006168365478516,0.029025793075561523,7,2,4
45,benchmark-13,0.007006168365478516,0.0295257568359375,7,2,5
46,benchmark-13,0.006505489349365234,0.028024673461914062,7,2,6
47,benchmark-13,0.006504535675048828,0.029024600982666016,7,2,7
48,benchmark-13,0.00650477409362793,0.029024124145507812,7,2,8
49,benchmark-13,0.006505727767944336,0.02802443504333496,7,2,9
50,benchmark-14,0.005504608154296875,0.01601386070251465,4,2,0
51,benchmark-14,0.005504131317138672,0.015512943267822266,4,2,1
52,benchmark-14,0.006004810333251953,0.016514062881469727,4,2,2
53,benchmark-14,0.005504131317138672,0.016513824462890625,4,2,3
54,benchmark-14,0.0055043697357177734,0.01601386070251465,4,2,4
55,benchmark-14,0.0055048465728759766,0.015514135360717773,4,2,5
56,benchmark-14,0.0055043697357177734,0.016514062881469727,4,2,6
57,benchmark-14,0.005504608154296875,0.01701521873474121,4,2,7
58,benchmark-14,0.0055043697357177734,0.015513420104980469,4,2,8
59,benchmark-14,0.005505084991455078,0.01651477813720703,4,2,9
60,benchmark-15,0.026523113250732422,0.07506442070007324,10,2,0
61,benchmark-15,0.02652287483215332,0.07506394386291504,10,2,1
62,benchmark-15,0.0270230770111084,0.07656550407409668,10,2,2
63,benchmark-15,0.02752375602722168,0.07756733894348145,10,2,3
64,benchmark-15,0.0270233154296875,0.07706713676452637,10,2,4
65,benchmark-15,0.027523517608642578,0.07806587219238281,10,2,5
66,benchmark-15,0.031026840209960938,0.08207130432128906,10,2,6
67,benchmark-15,0.0270230770111084,0.07656526565551758,10,2,7
68,benchmark-15,0.0270233154296875,0.07656550407409668,10,2,8
69,benchmark-15,0.0270233154296875,0.07706642150878906,10,2,9
70,benchmark-16,0.009508132934570312,0.026523590087890625,5,2,0
71,benchmark-16,0.009507894515991211,0.026021718978881836,5,2,1
72,benchmark-16,0.010008573532104492,0.027523040771484375,5,2,2
73,benchmark-16,0.010009288787841797,0.027524232864379883,5,2,3
74,benchmark-16,0.00900721549987793,0.0270235538482666,5,2,4
75,benchmark-16,0.009507894515991211,0.02610301971435547,5,2,5
76,benchmark-16,0.009508371353149414,0.025522232055664062,5,2,6
77,benchmark-16,0.009007930755615234,0.025522470474243164,5,2,7
78,benchmark-16,0.009508132934570312,0.027022838592529297,5,2,8
79,benchmark-16,0.009508132934570312,0.02652263641357422,5,2,9
80,benchmark-17,0.013511419296264648,0.031026601791381836,4,2,0
81,benchmark-17,0.01150965690612793,0.030025720596313477,4,2,1
82,benchmark-17,0.013011693954467773,0.030526399612426758,4,2,2
83,benchmark-17,0.013010978698730469,0.03152728080749512,4,2,3
84,benchmark-17,0.01251077651977539,0.03302884101867676,4,2,4
85,benchmark-17,0.012510538101196289,0.03052663803100586,4,2,5
86,benchmark-17,0.012510538101196289,0.030025243759155273,4,2,6
87,benchmark-17,0.012511253356933594,0.031035184860229492,4,2,7
88,benchmark-17,0.01351165771484375,0.032027244567871094,4,2,8
89,benchmark-17,0.012511014938354492,0.030525684356689453,4,2,9
90,benchmark-18,0.021518707275390625,0.08207440376281738,9,2,0
91,benchmark-18,0.021518230438232422,0.0810689926147461,9,2,1
92,benchmark-18,0.022019386291503906,0.08156967163085938,9,2,2
93,benchmark-18,0.021518468856811523,0.08006787300109863,9,2,3
94,benchmark-18,0.02151799201965332,0.0810708999633789,9,2,4
95,benchmark-18,0.022018909454345703,0.08557343482971191,9,2,5
96,benchmark-18,0.021518468856811523,0.0810701847076416,9,2,6
97,benchmark-18,0.022018909454345703,0.08507418632507324,9,2,7
98,benchmark-18,0.021518230438232422,0.0810701847076416,9,2,8
99,benchmark-18,0.02151799201965332,0.08207011222839355,9,2,9
100,benchmark-19,0.04103493690490723,0.19466876983642578,12,2,0
101,benchmark-19,0.04203629493713379,0.19566917419433594,12,2,1
102,benchmark-19,0.04003429412841797,0.19016361236572266,12,2,2
103,benchmark-19,0.03903365135192871,0.18766164779663086,12,2,3
104,benchmark-19,0.04103541374206543,0.1916639804840088,12,2,4
105,benchmark-19,0.04053473472595215,0.18966102600097656,12,2,5
106,benchmark-19,0.04053521156311035,0.19016504287719727,12,2,6
107,benchmark-19,0.04003429412841797,0.18866205215454102,12,2,7
108,benchmark-19,0.04053521156311035,0.1891627311706543,12,2,8
109,benchmark-19,0.04203605651855469,0.19366741180419922,12,2,9
110,benchmark-2,0.007506370544433594,0.016013622283935547,3,2,0
111,benchmark-2,0.007506608963012695,0.016514062881469727,3,2,1
112,benchmark-2,0.007007598876953125,0.015516042709350586,3,2,2
113,benchmark-2,0.007005453109741211,0.015513181686401367,3,2,3
114,benchmark-2,0.007006645202636719,0.015013456344604492,3,2,4
115,benchmark-2,0.007506370544433594,0.015513181686401367,3,2,5
116,benchmark-2,0.007005929946899414,0.015012502670288086,3,2,6
117,benchmark-2,0.0070056915283203125,0.015012741088867188,3,2,7
118,benchmark-2,0.007006406784057617,0.015012741088867188,3,2,8
119,benchmark-2,0.007005929946899414,0.015012502670288086,3,2,9
120,benchmark-20,0.01100921630859375,0.029024124145507812,5,2,0
121,benchmark-20,0.010008573532104492,0.027523279190063477,5,2,1
122,benchmark-20,0.009508132934570312,0.027022838592529297,5,2,2
123,benchmark-20,0.00950765609741211,0.027022838592529297,5,2,3
124,benchmark-20,0.01000833511352539,0.027523517608642578,5,2,4
125,benchmark-20,0.010509252548217773,0.028525352478027344,5,2,5
126,benchmark-20,0.010008811950683594,0.027524232864379883,5,2,6
127,benchmark-20,0.010008573532104492,0.0270235538482666,5,2,7
128,benchmark-20,0.010509014129638672,0.029025554656982422,5,2,8
129,benchmark-20,0.009508371353149414,0.027524232864379883,5,2,9
130,benchmark-21,0.004003286361694336,0.011008739471435547,3,4,0
131,benchmark-21,0.004003763198852539,0.011510372161865234,3,4,1
132,benchmark-21,0.004002809524536133,0.011509418487548828,3,4,2
133,benchmark-21,0.003503561019897461,0.010509967803955078,3,4,3
134,benchmark-21,0.0035028457641601562,0.01050877571105957,3,4,4
135,benchmark-21,0.0040035247802734375,0.011509180068969727,3,4,5
136,benchmark-21,0.0035028457641601562,0.01150965690612793,3,4,6
137,benchmark-21,0.0035033226013183594,0.011009931564331055,3,4,7
138,benchmark-21,0.0035026073455810547,0.011008977890014648,3,4,8
139,benchmark-21,0.0035033226013183594,0.01051020622253418,3,4,9
140,benchmark-22,0.0035037994384765625,0.0035037994384765625,1,4,0
141,benchmark-22,0.0030024051666259766,0.0030024051666259766,1,4,1
