,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
0,benchmark-1,0.009007692337036133,0.023019790649414062,4,2,0
1,benchmark-1,0.010008573532104492,0.023520231246948242,4,2,1
2,benchmark-1,0.009007692337036133,0.02251887321472168,4,2,2
3,benchmark-1,0.00950765609741211,0.023019075393676758,4,2,3
4,benchmark-1,0.009508371353149414,0.02352166175842285,4,2,4
5,benchmark-1,0.009008169174194336,0.022520065307617188,4,2,5
6,benchmark-1,0.00900721549987793,0.02301931381225586,4,2,6
7,benchmark-1,0.009007692337036133,0.023018598556518555,4,2,7
8,benchmark-1,0.00900721549987793,0.023018360137939453,4,2,8
9,benchmark-1,0.009008646011352539,0.022521018981933594,4,2,9
10,benchmark-10,0.0035028457641601562,0.007005929946899414,2,4,0
11,benchmark-10,0.003002643585205078,0.006505727767944336,2,4,1
12,benchmark-10,0.0040035247802734375,0.008007049560546875,2,4,2
13,benchmark-10,0.003503084182739258,0.007006168365478516,2,4,3
14,benchmark-10,0.0035033226013183594,0.007006406784057617,2,4,4
15,benchmark-10,0.004004001617431641,0.008007526397705078,2,4,5
16,benchmark-10,0.0035033226013183594,0.007006406784057617,2,4,6
17,benchmark-10,0.004003763198852539,0.007506608963012695,2,4,7
18,benchmark-10,0.0035028457641601562,0.007005929946899414,2,4,8
19,benchmark-10,0.0035033226013183594,0.0065059661865234375,2,4,9
20,benchmark-11,0.015513896942138672,0.026523590087890625,3,4,0
21,benchmark-11,0.015012979507446289,0.02652263641357422,3,4,1
22,benchmark-11,0.015513181686401367,0.027022361755371094,3,4,2
23,benchmark-11,0.015513420104980469,0.027524471282958984,3,4,3
24,benchmark-11,0.01501321792602539,0.026022911071777344,3,4,4
25,benchmark-11,0.016013383865356445,0.027523279190063477,3,4,5
26,benchmark-11,0.015513420104980469,0.02652287483215332,3,4,6
27,benchmark-11,0.01601386070251465,0.02752399444580078,3,4,7
28,benchmark-11,0.014512300491333008,0.02552175521850586,3,4,8
29,benchmark-11,0.015512943267822266,0.026475191116333008,3,4,9
30,benchmark-12,0.003503084182739258,0.01000833511352539,3,6,0
31,benchmark-12,0.004003286361694336,0.011009931564331055,3,6,1
32,benchmark-12,0.003002166748046875,0.01050877571105957,3,6,2
33,benchmark-12,0.0035033226013183594,0.011009454727172852,3,6,3
34,benchmark-12,0.0035033226013183594,0.010509967803955078,3,6,4
35,benchmark-12,0.0035026073455810547,0.010508537292480469,3,6,5
36,benchmark-12,0.003503084182739258,0.010508298873901367,3,6,6
37,benchmark-12,0.0035033226013183594,0.010509490966796875,3,6,7
38,benchmark-12,0.003002643585205078,0.009508609771728516,3,6,8
39,benchmark-12,0.003503084182739258,0.010509490966796875,3,6,9
40,benchmark-13,0.007006168365478516,0.029525279998779297,7,2,0
41,benchmark-13,0.007006168365478516,0.030028343200683594,7,2,1
42,benchmark-13,0.007006168365478516,0.031028032302856445,7,2,2
43,benchmark-13,0.007005929946899414,0.030527353286743164,7,2,3
44,benchmark-13,0.007006168365478516,0.03052830696105957,7,2,4
45,benchmark-13,0.007006168365478516,0.028524160385131836,7,2,5
46,benchmark-13,0.007006645202636719,0.029524803161621094,7,2,6
47,benchmark-13,0.006505489349365234,0.02852487564086914,7,2,7
48,benchmark-13,0.007005929946899414,0.029024839401245117,7,2,8
49,benchmark-13,0.006505489349365234,0.029524803161621094,7,2,9
50,benchmark-14,0.006005287170410156,0.01651477813720703,4,2,0
51,benchmark-14,0.006005287170410156,0.01601433753967285,4,2,1
52,benchmark-14,0.006005525588989258,0.017015457153320312,4,2,2
53,benchmark-14,0.006005525588989258,0.01701498031616211,4,2,3
54,benchmark-14,0.006005048751831055,0.01751542091369629,4,2,4
55,benchmark-14,0.005504608154296875,0.01701498031616211,4,2,5
56,benchmark-14,0.00550532341003418,0.016014814376831055,4,2,6
57,benchmark-14,0.005504608154296875,0.016013622283935547,4,2,7
58,benchmark-14,0.006005287170410156,0.01651477813720703,4,2,8
59,benchmark-14,0.006005287170410156,0.017014741897583008,4,2,9
60,benchmark-15,0.02902507781982422,0.08157157897949219,10,2,0
61,benchmark-15,0.030526161193847656,0.08257079124450684,10,2,1
62,benchmark-15,0.029525041580200195,0.08006787300109863,10,2,2
63,benchmark-15,0.0295255184173584,0.08207058906555176,10,2,3
64,benchmark-15,0.028524398803710938,0.0810706615447998,10,2,4
65,benchmark-15,0.03102707862854004,0.08457255363464355,10,2,5
66,benchmark-15,0.029525041580200195,0.08157014846801758,10,2,6
67,benchmark-15,0.02902507781982422,0.08157110214233398,10,2,7
68,benchmark-15,0.030025959014892578,0.08257102966308594,10,2,8
69,benchmark-15,0.029525279998779297,0.0835719108581543,10,2,9
70,benchmark-16,0.010008573532104492,0.028024673461914062,5,2,0
71,benchmark-16,0.01050877571105957,0.02802300453186035,5,2,1
72,benchmark-16,0.010008096694946289,0.028023719787597656,5,2,2
73,benchmark-16,0.010509252548217773,0.02865123748779297,5,2,3
74,benchmark-16,0.011009693145751953,0.029025793075561523,5,2,4
75,benchmark-16,0.010008573532104492,0.028023719787597656,5,2,5
76,benchmark-16,0.010509252548217773,0.02852463722229004,5,2,6
77,benchmark-16,0.010008811950683594,0.028024673461914062,5,2,7
78,benchmark-16,0.01050877571105957,0.02802300453186035,5,2,8
79,benchmark-16,0.010509014129638672,0.028023719787597656,5,2,9
80,benchmark-17,0.01251077651977539,0.030525922775268555,4,2,0
81,benchmark-17,0.013011455535888672,0.031526803970336914,4,2,1
82,benchmark-17,0.01201009750366211,0.029524803161621094,4,2,2
83,benchmark-17,0.012010335922241211,0.02902507781982422,4,2,3
84,benchmark-17,0.012511253356933594,0.031027555465698242,4,2,4
85,benchmark-17,0.012510538101196289,0.031026363372802734,4,2,5
86,benchmark-17,0.01251077651977539,0.031027793884277344,4,2,6
87,benchmark-17,0.01351165771484375,0.031026601791381836,4,2,7
88,benchmark-17,0.012511014938354492,0.030527114868164062,4,2,8
